,code,centroid (u [m/s]),centroid (vm [m/s]),centroid (r [deg/s])
64,64,1.0157317952507576,-0.31235517551527386,0.14209670517757808
65,65,0.5075772838258665,-0.4469136650765319,0.3614761040532365
66,66,2.4737211187310213,0.4216143298715103,-0.1182320336391437
67,67,2.8982544658457305,-0.03035554637418185,0.0017679704016913304
68,68,-0.26889049034446616,0.34214215858574,-0.4767348008385745
69,69,0.5579668452933007,0.09707558052573646,-0.028491598280578338
70,70,3.5511930645530225,0.30100601687467365,-0.08913341394598949
71,71,0.019685620860014998,-0.08817104841000693,0.008972693972693964
72,72,1.1147027103102418,0.5256521599557591,-0.25778877887788776
73,73,5.096161293523355,-0.6278361498672174,0.2722039473684211
74,74,1.5884611553208856,-0.4523369335126425,0.16494252873563214
75,75,7.311056000342316,0.06877347475002542,-0.0030132013201320078
76,76,-0.5643076709669478,0.36719245798749417,-0.34412197686645635
77,77,-0.06465793837559386,-0.4977801260131198,0.05661241319444441
78,78,5.781817073821821,-0.08432851124310993,0.000998427672955968
79,79,-0.35761803850861956,0.3989845999685192,0.3636221779548472
80,80,3.8974056468564577,0.23986591785488987,-0.07186528497409324
81,81,5.572935432368747,0.028677560764288092,-0.003361450455691292
82,82,6.447153418236174,-0.20561517383159383,0.0026393034825870606
83,83,6.307702615054453,0.04165229624813057,-0.0018931311997005388
84,84,3.855952262922519,-0.042715911168863606,0.01699565798263192
85,85,1.9448375000454818,0.46304621299243587,-0.17100054824561398
86,86,0.9445499145582648,-0.06146220392898116,0.005475454857535178
87,87,-0.22047081145893563,-0.5356602961920204,0.376757281553398
88,88,4.580228947244686,0.01974980395795526,0.0021034267912772627
89,89,4.119754998071647,-0.13361048494187164,0.02891397040381237
90,90,5.210654159881833,0.014311384246612794,-0.004618364655456641
91,91,2.925469361505909,-0.38506568026296695,0.13545577130528583
92,92,8.730513582910035,-0.38630539634825656,0.18539295392953925
93,93,0.25564957403991406,0.14337940405094876,-0.34597959183673466
94,94,3.3525859212471714,-0.10998381970462585,0.023127503337783694
95,95,6.9648243336984725,-0.052241726402161064,0.0015973236009732363
96,96,1.4684698175748678,0.06849977612070644,-0.005050998725031862
97,97,0.025925124141646636,0.22445516316326306,0.048929725363489496
98,98,2.6341131781727167,-0.07683630988300587,0.022003188097768314
99,99,6.050530688730023,0.9734299376527081,-0.23717717717717715
100,100,2.2302669915736266,-0.17439494381033913,0.04995545073375259
101,101,-0.2857875962033146,-0.23430033606509582,0.13050803858520896
102,102,-0.8575108792401783,-0.08849185032439044,0.16383244206773617
103,103,0.12469788579937374,-0.3211645664985937,0.29333333333333333
104,104,4.338913951633892,0.00977372504255764,0.014904539904539906
105,105,1.03401110291389,0.43258779151760607,0.36335097001763667
106,106,3.1903797769994715,0.2940970960459334,-0.09761141516810005
107,107,1.7118749917933518,0.0666018683678129,-0.002569915254237273
108,108,0.7446209532768449,-0.2106041351368991,0.05418952618453863
109,109,5.0437347784752875,-0.06329075682173713,0.008476450689565436
110,110,6.090603821937385,0.07108777438836746,-0.004078590785907857
111,111,2.6207613143662414,-0.7086555928434276,0.2228191489361702
112,112,3.648067509133951,-0.22468580323569262,0.04614261168384877
113,113,3.9730198463786803,-0.5753942307033585,0.2760514018691589
114,114,4.460446629846123,1.0678704800283296,-0.33047445255474445
115,115,-0.28599412399076607,0.3752435768857411,-0.09958794587945877
116,116,5.967454823223335,-0.2483232784193876,0.02868055555555554
117,117,3.0913886170544376,-0.1387330272975255,-0.3773801560758082
118,118,-0.49522016473124353,-0.71172622136973,0.38738194444444446
119,119,-0.045968858655322034,-0.1564918763749505,-0.49018115942028984
120,120,-0.5225668042977147,0.022611951440773704,0.26725683060109284
121,121,0.13474266374575206,0.7043983021043223,0.41256589147286815
122,122,5.642054201191793,0.24436474902777633,-0.030563979781856866
123,123,0.038423418597783074,-0.26124685298420675,0.008839879154078538
124,124,0.5003499131856505,-0.3471113732228273,-0.1714261857047428
